                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.3851,                 1.3806,                 1.4076,                0.51122,                 0.6416,                0.57613,                0.29433,                 1.5897,                 1.6224,                 1.4885,             0.00027806,             0.00027806,             0.00027806
                     52,                 1.3832,                 1.3825,                 1.3811,                0.59547,                0.60093,                0.62942,                0.33794,                 1.6352,                 1.5528,                 1.5436,             0.00027696,             0.00027696,             0.00027696
                     53,                 1.3796,                 1.3972,                 1.4009,                0.50022,                0.69653,                0.60484,                0.32023,                 1.6104,                 1.5673,                 1.5091,             0.00027586,             0.00027586,             0.00027586
                     54,                 1.3785,                 1.3878,                 1.3821,                0.58496,                0.62833,                0.63986,                0.34229,                 1.5975,                 1.5766,                 1.4835,             0.00027476,             0.00027476,             0.00027476
                     55,                 1.3445,                  1.364,                 1.3955,                0.57975,                0.63066,                0.63385,                0.33151,                 1.7874,                 1.6461,                 1.6657,             0.00027366,             0.00027366,             0.00027366
                     56,                 1.3784,                 1.3883,                 1.3871,                0.53668,                0.69311,                0.65288,                0.35598,                 1.6066,                 1.5016,                  1.539,             0.00027256,             0.00027256,             0.00027256
                     57,                 1.3507,                 1.3643,                 1.3944,                0.58955,                0.59656,                0.60331,                0.31671,                  1.706,                 1.5344,                 1.5632,             0.00027146,             0.00027146,             0.00027146
                     58,                 1.3558,                 1.3431,                 1.3705,                0.54033,                0.63329,                0.58458,                 0.3294,                 1.5702,                 1.6267,                 1.4849,             0.00027036,             0.00027036,             0.00027036
                     59,                 1.3467,                 1.2934,                 1.3651,                0.53122,                0.66435,                0.58621,                0.32522,                 1.4974,                 1.6085,                  1.464,             0.00026926,             0.00026926,             0.00026926
                     60,                 1.3431,                 1.3624,                 1.3688,                0.60029,                0.65153,                0.64829,                0.36671,                 1.4933,                 1.5117,                 1.4634,             0.00026816,             0.00026816,             0.00026816
                     61,                 1.3336,                 1.2825,                 1.3602,                0.58384,                0.69074,                0.69868,                0.40053,                 1.4874,                 1.4284,                  1.446,             0.00026707,             0.00026707,             0.00026707
                     62,                 1.3359,                 1.3083,                 1.3682,                0.62505,                0.58959,                0.64777,                0.35862,                 1.5267,                 1.4931,                 1.5002,             0.00026597,             0.00026597,             0.00026597
                     63,                  1.295,                 1.2342,                 1.3466,                0.53335,                0.70709,                 0.6698,                0.34965,                 1.6224,                 1.4682,                 1.5174,             0.00026487,             0.00026487,             0.00026487
                     64,                 1.3432,                 1.2927,                  1.367,                0.63596,                0.63992,                0.68068,                0.35012,                 1.6734,                 1.4608,                 1.5623,             0.00026377,             0.00026377,             0.00026377
                     65,                 1.3223,                 1.2566,                 1.3623,                0.61329,                 0.6333,                0.66737,                0.36489,                 1.5298,                 1.4915,                 1.5133,             0.00026267,             0.00026267,             0.00026267
                     66,                 1.3242,                  1.287,                 1.3588,                0.56789,                 0.6782,                0.65575,                 0.3403,                 1.7139,                 1.4658,                 1.5677,             0.00026157,             0.00026157,             0.00026157
                     67,                 1.3173,                 1.2655,                 1.3599,                 0.6265,                 0.6047,                0.67191,                0.36103,                 1.6788,                 1.4493,                 1.5747,             0.00026047,             0.00026047,             0.00026047
                     68,                 1.3265,                 1.2711,                 1.3516,                0.57032,                0.69066,                0.65443,                0.35946,                 1.5507,                 1.4192,                 1.4879,             0.00025937,             0.00025937,             0.00025937
                     69,                 1.3455,                  1.258,                 1.3444,                0.59056,                0.66667,                0.67664,                0.36008,                 1.6294,                 1.4447,                 1.5649,             0.00025827,             0.00025827,             0.00025827
                     70,                 1.3057,                 1.2581,                  1.359,                0.57142,                0.69417,                0.68346,                0.37128,                 1.5693,                 1.4107,                 1.5279,             0.00025718,             0.00025718,             0.00025718
                     71,                 1.3125,                 1.2659,                 1.3678,                 0.5615,                0.70645,                0.64799,                0.36421,                 1.5047,                 1.4214,                 1.4549,             0.00025608,             0.00025608,             0.00025608
                     72,                 1.2753,                 1.2229,                 1.3391,                0.60723,                0.66032,                0.67694,                0.37493,                 1.5028,                 1.3875,                 1.4777,             0.00025498,             0.00025498,             0.00025498
                     73,                 1.2933,                 1.2275,                 1.3253,                0.58312,                0.68029,                0.68219,                0.36753,                 1.5561,                 1.4001,                 1.4996,             0.00025388,             0.00025388,             0.00025388
                     74,                 1.2833,                 1.1821,                 1.3385,                0.59912,                0.71871,                0.71425,                0.37294,                 1.5907,                 1.3653,                  1.519,             0.00025278,             0.00025278,             0.00025278
                     75,                 1.2885,                 1.2004,                 1.3486,                0.60998,                0.66104,                0.68276,                0.36852,                 1.5605,                 1.4803,                 1.5176,             0.00025168,             0.00025168,             0.00025168
                     76,                 1.3027,                 1.1708,                 1.3272,                0.59994,                0.68248,                 0.6771,                0.36312,                 1.6766,                 1.4293,                 1.5558,             0.00025058,             0.00025058,             0.00025058
                     77,                 1.3115,                 1.2192,                 1.3584,                0.58895,                0.68511,                0.67742,                0.37374,                 1.5174,                  1.413,                 1.5108,             0.00024948,             0.00024948,             0.00024948
                     78,                 1.2928,                 1.1967,                 1.3235,                0.63196,                0.69525,                0.71127,                0.39432,                 1.5366,                 1.3701,                 1.4941,             0.00024838,             0.00024838,             0.00024838
                     79,                 1.2792,                 1.1783,                 1.3296,                0.62899,                0.66727,                0.69447,                0.37924,                 1.5187,                  1.429,                 1.5008,             0.00024729,             0.00024729,             0.00024729
                     80,                 1.2941,                 1.2176,                 1.3502,                0.53798,                0.73618,                0.66434,                0.34718,                 1.6078,                 1.4269,                 1.5117,             0.00024619,             0.00024619,             0.00024619
                     81,                 1.3185,                 1.2453,                 1.3478,                0.62057,                0.69638,                0.70741,                0.38723,                 1.5959,                 1.3483,                 1.5085,             0.00024509,             0.00024509,             0.00024509
                     82,                 1.3002,                 1.1782,                 1.3311,                0.57824,                0.68942,                0.64512,                 0.3508,                 1.6052,                 1.4416,                 1.5441,             0.00024399,             0.00024399,             0.00024399
                     83,                 1.2664,                 1.1537,                 1.3167,                0.64416,                 0.6746,                0.70991,                0.37245,                 1.6282,                 1.3861,                 1.5171,             0.00024289,             0.00024289,             0.00024289
                     84,                 1.2531,                 1.1388,                 1.3259,                0.57541,                0.69873,                0.68607,                0.37742,                 1.5163,                 1.4074,                    1.5,             0.00024179,             0.00024179,             0.00024179
                     85,                 1.2658,                 1.1692,                 1.3136,                0.60419,                 0.6886,                0.69196,                0.38088,                 1.5677,                 1.3803,                 1.5352,             0.00024069,             0.00024069,             0.00024069
                     86,                 1.2875,                 1.1589,                 1.3246,                0.57313,                0.69985,                0.69322,                0.38674,                 1.5201,                 1.4069,                 1.5025,             0.00023959,             0.00023959,             0.00023959
                     87,                 1.2828,                 1.1643,                 1.3327,                0.57934,                0.71903,                0.64283,                0.34633,                 1.5658,                 1.4839,                 1.5037,             0.00023849,             0.00023849,             0.00023849
                     88,                 1.2928,                 1.1455,                 1.3307,                0.57051,                0.67726,                0.63078,                0.35589,                 1.5104,                 1.4672,                 1.4801,              0.0002374,              0.0002374,              0.0002374
                     89,                  1.253,                 1.1273,                 1.3246,                0.57956,                0.65956,                0.66472,                0.37305,                 1.4905,                 1.4178,                 1.4302,              0.0002363,              0.0002363,              0.0002363
                     90,                  1.252,                 1.1192,                 1.3164,                 0.6059,                0.66504,                0.69391,                0.35449,                 1.6343,                 1.4336,                 1.5465,              0.0002352,              0.0002352,              0.0002352
                     91,                 1.2373,                  1.148,                 1.3138,                0.63889,                0.68976,                0.72007,                0.39512,                 1.5603,                 1.3238,                 1.5207,              0.0002341,              0.0002341,              0.0002341
                     92,                 1.2493,                 1.1307,                 1.3137,                0.65618,                0.67117,                0.69372,                0.36353,                  1.623,                 1.3296,                 1.5294,               0.000233,               0.000233,               0.000233
                     93,                 1.2812,                  1.143,                 1.3359,                0.63713,                0.72448,                0.70991,                0.40259,                 1.4679,                  1.345,                 1.4405,              0.0002319,              0.0002319,              0.0002319
                     94,                 1.2265,                 1.1026,                 1.3034,                 0.6627,                0.66582,                0.72088,                0.40176,                 1.5594,                 1.3487,                 1.5262,              0.0002308,              0.0002308,              0.0002308
                     95,                 1.2354,                 1.1216,                 1.3014,                0.56366,                0.72881,                0.65119,                0.34492,                 1.5893,                 1.4307,                 1.5194,              0.0002297,              0.0002297,              0.0002297
                     96,                 1.2333,                 1.1211,                 1.3014,                0.56024,                0.66235,                0.67742,                0.37409,                  1.548,                 1.4442,                 1.4857,              0.0002286,              0.0002286,              0.0002286
                     97,                 1.2416,                 1.1175,                 1.3037,                0.61928,                0.72208,                0.71594,                0.40474,                 1.4729,                 1.3676,                 1.4436,             0.00022751,             0.00022751,             0.00022751
                     98,                 1.2405,                 1.1268,                  1.296,                 0.5655,                 0.6903,                0.68491,                0.37654,                 1.5528,                 1.3316,                  1.476,             0.00022641,             0.00022641,             0.00022641
                     99,                 1.2177,                 1.0957,                 1.3112,                0.66186,                0.65866,                 0.6997,                0.37689,                 1.5956,                 1.3435,                 1.4993,             0.00022531,             0.00022531,             0.00022531
                    100,                 1.2199,                 1.0948,                 1.2966,                0.64043,                0.71823,                0.71245,                0.38224,                 1.5084,                 1.3526,                 1.4735,             0.00022421,             0.00022421,             0.00022421
                    101,                 1.2193,                 1.0733,                 1.2858,                0.61881,                0.70155,                0.68228,                0.38107,                 1.5161,                 1.3233,                  1.458,             0.00022311,             0.00022311,             0.00022311
                    102,                 1.2353,                 1.0883,                 1.3101,                0.61493,                0.67845,                0.68582,                0.38765,                 1.4736,                  1.375,                 1.4435,             0.00022201,             0.00022201,             0.00022201
                    103,                 1.2414,                 1.0694,                 1.2993,                0.61655,                0.75077,                0.70564,                0.37306,                 1.5904,                 1.3411,                  1.541,             0.00022091,             0.00022091,             0.00022091
                    104,                 1.2125,                 1.0994,                 1.2844,                0.57583,                0.65944,                 0.6493,                0.32628,                 1.6475,                 1.3974,                 1.5322,             0.00021981,             0.00021981,             0.00021981
                    105,                 1.2134,                  1.067,                 1.2868,                0.62445,                0.70567,                0.70101,                0.39031,                  1.523,                 1.3186,                 1.4829,             0.00021871,             0.00021871,             0.00021871
                    106,                 1.2069,                 1.0749,                 1.2766,                0.65738,                 0.6604,                0.70296,                0.40393,                  1.486,                 1.3271,                 1.4545,             0.00021762,             0.00021762,             0.00021762
                    107,                 1.2188,                 1.0793,                 1.2902,                0.58798,                0.73041,                0.69104,                0.38168,                 1.5619,                 1.3502,                 1.4989,             0.00021652,             0.00021652,             0.00021652
                    108,                 1.1786,                 1.0255,                 1.2759,                0.57585,                0.70042,                0.68332,                0.37092,                 1.5842,                 1.3914,                 1.5259,             0.00021542,             0.00021542,             0.00021542
                    109,                 1.1781,                  1.028,                 1.2761,                0.58364,                0.65666,                0.65481,                0.37014,                 1.4966,                 1.3408,                  1.457,             0.00021432,             0.00021432,             0.00021432
                    110,                 1.2017,                 1.0534,                 1.2826,                0.65246,                0.64777,                0.68882,                0.37778,                 1.5814,                 1.2875,                 1.5096,             0.00021322,             0.00021322,             0.00021322
                    111,                 1.1898,                 1.0427,                 1.2816,                0.54553,                 0.7459,                0.66106,                0.37154,                 1.5376,                 1.3795,                 1.5035,             0.00021212,             0.00021212,             0.00021212
                    112,                 1.1878,                 1.0324,                 1.2758,                0.66346,                0.69617,                0.71504,                0.39543,                 1.5611,                 1.3422,                  1.559,             0.00021102,             0.00021102,             0.00021102
                    113,                 1.2217,                 1.0347,                 1.2819,                0.60939,                0.67039,                0.66296,                0.37934,                  1.507,                 1.3439,                 1.5134,             0.00020992,             0.00020992,             0.00020992
                    114,                 1.1886,                  1.039,                 1.2819,                0.56687,                0.71391,                0.68347,                 0.3675,                 1.5481,                 1.4131,                 1.4954,             0.00020882,             0.00020882,             0.00020882
                    115,                 1.1938,                 1.0409,                 1.2703,                0.60591,                0.70749,                0.69852,                 0.3887,                 1.5151,                  1.348,                 1.4818,             0.00020773,             0.00020773,             0.00020773
                    116,                 1.1865,                 1.0293,                 1.2852,                0.60423,                 0.6973,                 0.6909,                0.38515,                 1.5562,                 1.3943,                 1.5153,             0.00020663,             0.00020663,             0.00020663
                    117,                 1.1959,                 1.0157,                 1.2579,                0.61067,                0.75338,                0.73135,                0.39196,                 1.5356,                 1.2717,                 1.4727,             0.00020553,             0.00020553,             0.00020553
                    118,                 1.1926,                 1.0404,                 1.2722,                0.70898,                0.65556,                0.75273,                0.39627,                 1.5387,                 1.2676,                 1.4841,             0.00020443,             0.00020443,             0.00020443
                    119,                 1.1613,                 1.0408,                 1.2656,                0.67406,                0.60568,                0.67139,                0.35962,                 1.5773,                 1.3954,                 1.4935,             0.00020333,             0.00020333,             0.00020333
                    120,                 1.1812,                 1.0355,                 1.2749,                0.73043,                 0.5973,                0.71179,                 0.3995,                 1.5268,                  1.316,                 1.5062,             0.00020223,             0.00020223,             0.00020223
                    121,                 1.1626,                  1.017,                  1.251,                0.63131,                0.67025,                0.70162,                0.39702,                  1.495,                  1.288,                 1.4761,             0.00020113,             0.00020113,             0.00020113
                    122,                 1.1824,                0.99499,                 1.2558,                0.62678,                0.71378,                 0.7351,                0.40851,                 1.5383,                 1.2709,                 1.5045,             0.00020003,             0.00020003,             0.00020003
                    123,                 1.1621,                 1.0203,                 1.2412,                0.58459,                0.72063,                0.70539,                0.39766,                 1.5568,                 1.2415,                 1.5123,             0.00019893,             0.00019893,             0.00019893
                    124,                 1.1767,                 1.0112,                 1.2561,                0.63081,                0.75646,                0.74496,                0.40488,                 1.5551,                 1.2668,                 1.5054,             0.00019784,             0.00019784,             0.00019784
                    125,                 1.1575,                 1.0299,                 1.2633,                0.60816,                0.69504,                0.67662,                0.36348,                 1.5544,                 1.4256,                 1.5376,             0.00019674,             0.00019674,             0.00019674
